id,mes,central,agente,descripcion,tecnologia_descripcion,tecnologia,factor_disp_tec_porcentaje,fecha_proceso,lote_id_log,indice_tiempo
121983,1,SNIC,CTSNICOG,C.TERMICA SAN NICOLAS,Turbovapor,TV,0.6833307796241869,2020-05-05 11:07:57.624983,67,2017-01-01
121984,1,SOES,EPECORDG,EPEC GENERACION,Turbina a gas,TG,0.2279294775317136,2020-05-05 11:07:57.624983,67,2017-01-01
121985,1,SORR,CTSORREG,C.TERMICA SORRENTO,Turbovapor,TV,0.333378938984525,2020-05-05 11:07:57.624983,67,2017-01-01
121986,1,SPE2,CTSAE2AG,CT SAENZ PEÑA II- AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121987,1,SPEN,CTSAENAG,CT SAENZ PEÑA - APR ENERGY,Motor Diesel,DI,0.9849680170575692,2020-05-05 11:07:57.624983,67,2017-01-01
121988,1,SROS,CTSROSTG,CT SANTA ROSA -TURBODISEL,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121989,1,TAND,TERMOANG,C.T. SALTA (TERMOANDES),Turbina a gas,TG,0.9766864221596896,2020-05-05 11:07:57.624983,67,2017-01-01
121990,1,TARD,CTTARTSG,CT TARTAGAL - SOENERGY,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121991,1,TELL,EDELARFG,EDELAR GENERACION,Motor Diesel,DI,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
121992,1,TERV,CTTERESG,CT TEREVINTOS - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121993,1,TIMB,TSMARTIG,TERMOELE. JOSE SAN MARTIN S.A,Ciclos Combinados,CC,0.9140961428976296,2020-05-05 11:07:57.624983,67,2017-01-01
121994,1,TINO,CTTINOSG,CT TINOGASTA - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121995,1,TUCU,YPFENERG,YPF ENERGÍA ELECTR.ex PLUSPETG,Ciclos Combinados,CC,0.9055307462921204,2020-05-05 11:07:57.624983,67,2017-01-01
121996,1,VANG,CTVANGAG,CT VILLA ANGELA - AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
121997,1,VGAD,CTGVILAG,CT GRAL. VILLEGAS - AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
